id,,num_likes,keyword_id
1,"""machine learning is an awesome keyword!""",48,0
2,"""genetic algorithm is an awesome keyword!""",18,1
3,"""classification is an awesome keyword!""",6,2
4,"""deep learning is an awesome keyword!""",31,3
5,"""data mining is an awesome keyword!""",41,4
6,"""cloud computing is an awesome keyword!""",6,5
7,"""support vector machine is an awesome keyword!""",38,6
8,"""clustering is an awesome keyword!""",12,7
9,"""security is an awesome keyword!""",46,9
10,"""optimization is an awesome keyword!""",9,10
11,"""feature selection is an awesome keyword!""",2,11
12,"""neural network is an awesome keyword!""",7,12
13,"""multiagent system is an awesome keyword!""",6,13
14,"""simulation is an awesome keyword!""",11,14
15,"""neural networks is an awesome keyword!""",36,15
16,"""artificial intelligence is an awesome keyword!""",23,16
17,"""ontology is an awesome keyword!""",16,17
18,"""wireless sensor network is an awesome keyword!""",47,18
19,"""logic program is an awesome keyword!""",39,19
20,"""virtual reality is an awesome keyword!""",37,20
21,"""particle swarm optimization is an awesome keyword!""",8,21
22,"""privacy is an awesome keyword!""",19,22
23,"""scheduling is an awesome keyword!""",44,23
24,"""face recognition is an awesome keyword!""",44,24
25,"""logic programming is an awesome keyword!""",36,25
26,"""augmented reality is an awesome keyword!""",10,26
27,"""big data is an awesome keyword!""",19,28
28,"""information retrieval is an awesome keyword!""",19,29
29,"""natural language processing is an awesome keyword!""",16,30
30,"""feature extraction is an awesome keyword!""",9,31
31,"""wireless sensor networks is an awesome keyword!""",44,32
32,"""independent component analysis is an awesome keyword!""",25,33
33,"""mobile robot is an awesome keyword!""",28,34
34,"""business process is an awesome keyword!""",49,35
35,"""fuzzy logic is an awesome keyword!""",38,36
36,"""image segmentation is an awesome keyword!""",26,37
37,"""image processing is an awesome keyword!""",27,38
38,"""segmentation is an awesome keyword!""",48,40
39,"""convolutional neural network is an awesome keyword!""",35,41
40,"""temporal logic is an awesome keyword!""",33,42
41,"""hash function is an awesome keyword!""",27,43
42,"""usability is an awesome keyword!""",7,44
43,"""computer vision is an awesome keyword!""",45,45
44,"""reinforcement learning is an awesome keyword!""",18,46
45,"""evaluation is an awesome keyword!""",47,47
46,"""cellular automaton is an awesome keyword!""",15,49
47,"""genetic algorithms is an awesome keyword!""",25,50
48,"""turing machine is an awesome keyword!""",12,51
49,"""access control is an awesome keyword!""",30,52
50,"""mobile agent is an awesome keyword!""",8,53
51,"""social media is an awesome keyword!""",16,54
52,"""regular language is an awesome keyword!""",48,55
53,"""semantic web is an awesome keyword!""",14,56
54,"""nash equilibrium is an awesome keyword!""",45,57
55,"""sensor network is an awesome keyword!""",21,58
56,"""association rule is an awesome keyword!""",37,59
57,"""description logic is an awesome keyword!""",6,60
58,"""genetic programming is an awesome keyword!""",4,61
59,"""sentiment analysis is an awesome keyword!""",16,63
60,"""visualization is an awesome keyword!""",27,64
61,"""authentication is an awesome keyword!""",17,65
62,"""boolean function is an awesome keyword!""",34,66
63,"""approximation algorithm is an awesome keyword!""",46,67
64,"""image retrieval is an awesome keyword!""",2,68
65,"""virtual machine is an awesome keyword!""",22,69
66,"""information system is an awesome keyword!""",4,70
67,"""knowledge management is an awesome keyword!""",46,71
68,"""social networks is an awesome keyword!""",42,72
69,"""intrusion detection is an awesome keyword!""",25,73
70,"""multi-agent systems is an awesome keyword!""",32,74
71,"""local search is an awesome keyword!""",47,75
72,"""pattern recognition is an awesome keyword!""",27,76
73,"""modal logic is an awesome keyword!""",28,77
74,"""bayesian network is an awesome keyword!""",45,78
75,"""anomaly detection is an awesome keyword!""",15,79
76,"""energy efficiency is an awesome keyword!""",23,80
77,"""information theory is an awesome keyword!""",0,81
78,"""performance is an awesome keyword!""",7,82
79,"""mutual information is an awesome keyword!""",48,83
80,"""query processing is an awesome keyword!""",41,84
